inning,batting_team,bowling_team,ball,non_striker,batsman,bowler,extra_runs,batsman_run,total_runs,extras,player_out,elimination_kind,fielders_caught,match_name,umpires_1,umpires_2,player_of_match,winner,city,venue,dates
1st innings,Chennai Super Kings,Kolkata Knight Riders,0.1,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,1,1,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,0.2,RD Gaikwad,F du Plessis,Shakib Al Hasan,0,0,0,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,0.3,RD Gaikwad,F du Plessis,Shakib Al Hasan,0,1,1,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,0.4,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,4,4,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,0.5,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,0,0,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,0.6,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,0,0,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,1.1,RD Gaikwad,F du Plessis,Shivam Mavi,0,0,0,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,1.2,RD Gaikwad,F du Plessis,Shivam Mavi,0,1,1,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,1.3,F du Plessis,RD Gaikwad,Shivam Mavi,0,2,2,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,1.4,F du Plessis,RD Gaikwad,Shivam Mavi,0,0,0,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,1.5,F du Plessis,RD Gaikwad,Shivam Mavi,0,0,0,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,1.6,F du Plessis,RD Gaikwad,Shivam Mavi,0,0,0,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,2.1,RD Gaikwad,F du Plessis,Shakib Al Hasan,1,0,1,byes,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,2.2,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,4,4,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,2.3,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,6,6,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
1st innings,Chennai Super Kings,Kolkata Knight Riders,2.4,F du Plessis,RD Gaikwad,Shakib Al Hasan,0,0,0,,,,,CSK vs KKR 2021-10-15,Nitin Menon,RK Illingworth,F du Plessis,Chennai Super Kings,Dubai,Dubai International Cricket Stadium,2021-10-15
